square_footage,bedrooms,bathrooms,price_thousands
995,2,1.5,332
2001,6,5.0,503
1453,2,2.0,386
1249,3,3.2,396
974,2,2.5,536
1918,3,2.2,692
1711,2,1.5,562
1066,2,2.5,431
1728,2,2.0,312
1107,2,2.0,178
1861,2,2.5,301
1289,2,2.5,395
1851,2,2.0,458
1393,2,2.5,529
1803,3,2.8,467
1292,2,2.5,392
2088,6,5.5,388
1120,2,2.5,384
1805,2,2.5,724
1392,3,2.8,499
2111,5,4.8,603
3219,5,4.8,675
1653,3,2.8,279
1618,2,2.0,549
975,2,2.0,286
1973,2,1.5,438
1569,3,2.2,335
1944,3,2.2,768
1490,3,3.2,464
1802,2,1.5,231
1933,3,3.2,481
1040,2,1.5,419
1151,1,1.0,230
1373,2,2.0,346
2047,6,5.5,409
1304,2,1.5,307
980,1,1.2,185
1862,2,1.5,374
1282,3,3.2,300
1967,3,2.2,393
1722,2,2.0,441
2191,4,4.0,930
1438,2,2.0,335
1721,3,3.2,530
2195,5,3.8,689
1024,7,1.0,422
1175,2,1.5,283
996,2,1.5,404
1795,2,1.5,352
1225,2,2.0,387
1312,2,2.5,446
1313,3,2.2,230
2099,6,5.0,970
1997,2,2.5,606
1211,3,3.2,261
1263,2,2.5,294
1353,3,2.8,450
1602,3,3.2,338
1209,3,2.8,437
1394,2,2.0,424
1975,3,3.2,596
1444,2,2.5,301
1361,2,2.0,427
967,2,2.5,409
1086,2,2.5,236
1484,2,1.5,278
1073,1,1.2,210
1640,3,2.2,558
2139,5,4.8,714
1324,3,2.8,297
559,1,1.8,269
1953,2,2.5,370
1941,3,3.2,506
1885,3,2.8,527
1655,3,2.2,511
909,2,1.5,145
1488,3,3.2,453
1767,3,3.2,383
2127,5,3.8,732
1731,3,2.8,403
1758,2,2.5,368
942,2,2.5,288
1171,2,1.5,410
1394,3,2.8,238
2045,5,3.8,575
1101,2,2.5,536
983,1,1.2,230
1723,3,3.2,527
1477,2,2.5,220
1499,3,2.8,299
1096,1,1.8,324
1444,2,2.5,242
2042,4,3.5,538
1960,3,3.2,645
1495,2,2.5,637
2190,6,4.5,877
1725,2,2.5,412
2146,4,4.0,545
1190,1,1.0,201
2121,6,4.5,339
661,7,5.2,367
2194,6,5.0,601
1499,3,3.2,410
2070,6,5.0,833
1476,2,2.5,353
1949,2,2.5,395
1464,3,2.2,436
2177,5,4.2,639
2043,4,3.0,424
1063,1,1.8,213
905,1,1.0,167
1338,3,2.2,466
1324,3,3.2,422
1993,2,2.0,424
1292,2,2.5,341
1514,3,2.8,750
2078,4,4.0,759
2026,6,5.5,513
1220,3,2.8,451
1575,3,3.2,357
840,7,6.2,921
1588,2,1.5,598
1521,2,2.5,354
3367,7,5.2,2618
1659,2,1.5,313
1035,2,1.5,291
1080,1,1.0,214
1210,2,1.5,332
2194,6,5.5,565
1658,3,2.2,597
1395,3,3.2,275
1924,3,3.2,386
1130,1,1.2,180
1641,3,3.2,481
1927,3,3.2,385
1587,3,3.2,435
2199,6,5.5,1245
1697,2,2.5,230
2160,6,5.5,489
1111,2,2.5,230
1502,2,1.5,221
1497,2,2.5,458
915,1,1.2,244
1002,1,1.0,156
1122,1,1.0,207
1077,1,1.2,224
1158,1,1.8,267
1922,3,2.8,510
1916,2,2.5,462
1870,2,2.0,269
1591,2,1.5,389
1803,2,1.5,355
1019,2,2.5,202
3511,6,5.0,416
1542,3,2.2,330
1501,3,2.8,497
962,5,6.5,660
1566,3,2.2,352
1869,3,2.8,393
1375,2,2.0,258
2132,6,5.5,1055
1651,2,2.5,253
1294,3,2.2,222
1140,1,1.0,225
1838,3,3.2,724
2039,4,3.0,440
2174,5,3.8,401
983,2,2.5,216
2156,5,4.8,607
1596,3,3.2,424
1681,3,3.2,406
1143,2,1.5,335
2084,6,5.5,440
1769,2,2.0,380
1677,3,2.2,569
1234,2,1.5,280
1034,2,1.5,207
552,5,4.8,348
1505,3,2.2,368
2025,6,5.0,433
2005,5,4.8,606
926,1,1.2,221
1716,2,2.5,364
2657,5,4.8,1048
2181,4,3.5,491
1482,2,2.0,373
1308,2,2.5,394
1697,2,1.5,407
1211,2,1.5,256
1305,3,2.2,489
1507,3,3.2,345
1111,1,1.8,293
1954,3,2.2,473
1695,3,2.2,253
1458,3,2.8,331
1193,1,1.2,262
1983,2,1.5,640
2037,5,4.2,708
1722,2,1.5,310
1301,2,2.0,362
957,1,1.2,184
1614,3,3.2,808
1791,2,1.5,310
2109,5,4.8,483
1912,3,3.2,570
2080,5,4.8,709
1580,3,2.8,601
1267,2,2.5,417
2007,4,3.5,557
1153,1,1.0,311
1434,3,3.2,358
1212,3,3.2,306
1298,3,3.2,329
1336,2,1.5,310
933,1,1.0,308
1892,2,2.0,437
3319,1,2.5,454
1716,2,2.0,383
1465,2,2.0,273
1783,3,2.8,417
2150,5,3.8,926
1342,3,2.2,299
1098,1,1.0,136
1271,2,1.5,199
1720,3,2.8,371
1128,2,2.5,213
2166,5,3.8,557
1217,2,1.5,337
1620,2,2.5,570
969,1,1.8,191
1596,3,3.2,495
1439,3,2.8,503
1459,2,1.5,332
1098,1,1.0,197
1008,2,1.5,254
3573,1,1.0,691
1451,2,2.0,403
1282,3,2.2,332
3997,5,3.8,638
1153,1,1.0,258
1896,2,2.5,407
1808,3,2.8,428
1775,2,1.5,393
1064,2,2.0,266
1227,3,2.8,401
1747,3,2.8,409
1639,3,3.2,428
1148,2,2.5,254
1523,3,3.2,281
913,1,1.2,142
1027,1,1.8,328
1363,3,2.8,347
2109,4,3.0,531
1738,3,2.8,367
1279,2,1.5,251
1133,2,2.0,254
1072,2,1.5,177
2654,1,1.0,565
1217,2,2.5,459
1949,3,3.2,328
1613,2,2.0,317
1566,3,2.2,562
1600,3,2.2,603
2149,5,3.8,489
1273,3,2.2,291
2134,4,4.0,485
1880,2,2.0,535
2663,1,1.2,196
1760,3,2.2,383
1826,2,2.0,397
2082,4,3.0,622
1093,1,1.2,275
1566,2,1.5,402
1170,2,2.5,289
1044,1,1.8,179
1914,2,2.0,453
2142,6,5.0,611
1393,2,2.0,184
1946,3,3.2,828
1053,1,1.2,227
926,2,2.5,300
986,1,1.2,252
951,2,2.5,317
1347,2,2.0,422
1760,3,2.2,395
1975,3,2.2,368
2140,5,3.8,683
1171,2,2.5,308
1803,2,2.5,543
1969,2,2.0,372
2165,6,5.5,757
1842,2,1.5,510
1669,3,2.8,362
1747,3,2.2,586
2129,4,4.0,595
1155,1,1.0,228
1221,2,2.5,281
1712,3,3.2,555
1666,2,1.5,296
1960,3,2.8,399
951,1,1.0,191
1102,2,2.0,441
1929,3,2.2,739
1007,2,2.5,260
1247,3,2.2,432
2167,5,3.8,496
1082,2,2.0,291
1632,2,2.0,301
1203,3,2.2,327
1165,1,1.8,252
2032,4,3.5,760
1675,3,2.8,512
1105,1,1.8,367
2168,5,4.2,524
1576,2,2.0,400
1514,2,2.0,620
2114,6,5.5,591
2068,6,5.0,853
929,1,1.0,146
1433,3,3.2,369
1241,3,2.8,383
1970,3,3.2,534
1150,2,2.5,280
1246,3,3.2,686
1291,2,2.0,328
2035,4,3.5,716
2057,4,3.0,609
2013,6,5.5,419
2022,4,3.0,534
1519,2,2.5,225
1360,3,2.8,222
2179,5,3.8,535
953,1,1.0,202
1980,3,2.8,289
1435,3,2.8,430
1684,2,1.5,316
1054,2,2.0,278
960,2,2.5,324
2017,5,3.8,550
1198,1,1.2,156
1500,3,2.2,421
1129,1,1.8,282
1460,3,2.2,489
1901,3,2.2,447
1769,3,3.2,486
1202,2,1.5,322
2143,5,3.8,506
984,1,1.8,171
1640,3,3.2,379
934,1,1.8,272
1797,2,2.5,379
2055,6,5.0,698
1106,2,2.5,385
1312,2,1.5,334
1861,2,2.0,582
1945,2,2.5,410
1516,3,2.8,480
2099,5,4.8,843
1969,3,3.2,332
1684,3,2.8,385
1821,2,2.0,373
1963,3,2.2,477
1777,3,3.2,658
1159,1,1.0,279
2149,4,3.5,634
1577,3,2.8,614
1747,2,1.5,310
1791,2,2.0,671
1818,2,2.5,430
1699,3,3.2,269
2151,4,3.5,556
2116,6,5.5,457
1978,2,2.5,713
1915,3,3.2,586
1137,1,1.2,289
1032,2,2.5,273
1822,3,2.2,593
1038,1,1.8,159
1937,2,2.5,628
1168,1,1.8,248
2183,4,4.0,696
2050,5,3.8,445
1430,3,2.8,668
3132,1,2.5,342
1992,3,2.2,661
1774,3,2.8,607
1715,3,2.2,694
2185,4,3.5,609
1196,1,1.2,313
1925,3,2.2,873
1638,3,3.2,446
1694,3,3.2,601
1001,2,1.5,336
2138,6,5.5,889
1792,3,2.8,329
1037,2,2.5,256
944,1,1.0,239
1672,3,2.8,317
1054,2,2.5,279
921,2,2.5,328
1964,2,2.5,530
1606,2,1.5,306
1532,2,1.5,244
2589,5,4.8,661
1733,3,2.2,567
1150,1,1.2,321
1702,3,3.2,223
1918,2,1.5,496
1340,2,1.5,325
1186,1,1.0,249
2151,5,4.2,750
2195,5,3.8,835
1919,3,2.2,286
2175,6,4.5,740
1792,3,2.8,473
1235,3,3.2,489
1125,1,1.2,277
1293,2,1.5,401
1293,3,2.2,517
2170,6,5.5,691
1947,3,2.8,501
1879,3,2.8,884
952,1,1.0,125
1770,2,2.5,287
1290,3,2.2,357
2141,4,3.0,619
1264,2,1.5,263
2046,5,3.8,649
794,1,1.0,132
920,1,1.8,217
930,1,1.2,170
1840,2,2.5,525
910,2,2.5,242
1801,3,2.8,327
1099,2,2.0,265
1767,2,2.0,299
1284,2,1.5,313
2121,6,5.5,598
1634,2,2.5,383
1968,3,2.8,627
1707,2,2.0,364
1313,2,1.5,268
1602,3,2.2,253
530,7,8.5,289
2168,6,4.5,472
1455,3,2.2,381
1051,2,2.5,263
1774,2,2.0,461
1011,1,1.8,214
1762,3,2.2,736
1847,3,3.2,525
1324,2,2.5,340
1095,2,2.0,421
1582,2,1.5,359
1483,3,3.2,367
1540,2,2.5,297
1195,1,1.8,330
1699,2,1.5,353
1639,2,2.0,559
1340,3,2.8,571
1202,2,2.5,442
2027,6,5.5,760
921,2,2.0,201
1321,3,3.2,393
1406,3,2.2,274
1022,2,2.5,174
2011,5,3.8,423
992,2,1.5,467
1354,2,1.5,296
1795,2,2.0,280
1490,2,2.5,438
2154,5,4.8,581
1201,3,2.8,357
1287,3,3.2,497
1442,3,3.2,530
1613,2,1.5,317
1154,1,1.8,311
2123,4,3.5,388
2061,4,3.5,596
2000,6,5.0,628
1155,2,1.5,207
908,2,1.5,431
962,2,2.0,308
1875,2,2.0,287
1686,2,2.5,370
831,7,8.5,363
1633,2,2.5,338
1321,2,1.5,228
1769,3,2.2,247
1910,3,3.2,687
2130,5,4.8,563
1920,2,1.5,399
1750,3,2.8,598
985,1,1.2,224
1762,3,2.8,563
904,7,8.5,1159
2102,5,4.2,642
1842,3,3.2,359
2191,5,4.8,788
1006,2,1.5,272
1214,3,2.2,308
1705,2,2.0,301
1211,2,2.0,404
1113,2,2.0,458
903,2,2.5,314
903,2,1.5,372
3101,6,5.0,608
1983,3,2.8,776
1766,3,2.2,501
1043,2,2.5,277
1754,2,2.5,401
3380,1,1.2,483
2186,4,3.0,644
1754,2,2.5,268
2157,5,4.2,593
1389,3,3.2,353
994,1,1.0,271
1657,2,1.5,396
1162,1,1.0,292
1057,1,1.8,274
1638,3,3.2,493
1101,1,1.8,189
1513,3,2.2,506
1505,2,2.0,438
1550,2,1.5,196
1918,2,2.0,438
949,1,1.0,331
1636,2,2.0,558
1378,3,2.8,394
1827,2,2.5,430
1824,3,3.2,537
1182,1,1.8,386
1871,2,2.0,703
1998,2,2.0,465
1013,2,1.5,295
1167,2,2.5,359
1704,3,2.2,294
3056,5,6.5,1327
2011,4,3.0,373
922,2,2.0,262
1544,2,2.0,326
2123,4,3.0,735
1861,2,1.5,485
1950,2,2.5,471
1230,2,2.0,299
1525,3,3.2,231
1353,2,2.5,281
585,1,1.8,287
1395,2,2.5,437
2158,6,4.5,334
1036,2,2.0,232
1610,3,2.8,538
1715,2,2.5,438
1779,2,2.5,484
1733,2,2.5,535
3858,1,1.8,392
2165,4,4.0,629
1867,2,2.5,525
920,2,2.5,337
1172,2,2.0,512
1070,1,1.0,193
1588,2,2.5,293
1832,2,2.0,426
2070,4,3.5,832
1752,2,1.5,444
1676,3,2.2,273
1113,1,1.0,240
1429,2,2.0,432
1965,3,2.2,348
1479,3,3.2,347
977,1,1.2,419
1113,1,1.8,228
1925,2,1.5,600
1335,3,2.2,518
1756,2,2.0,276
1747,3,3.2,332
1342,2,2.0,364
1025,1,1.8,192
2089,5,4.2,726
2178,4,3.0,513
1853,3,3.2,373
1647,2,1.5,640
1453,3,2.8,367
1831,2,1.5,646
1028,1,1.0,225
1846,3,2.8,311
1479,2,2.0,397
922,7,8.5,1268
541,5,1.0,306
923,1,1.8,368
2091,4,3.0,555
1066,2,2.0,372
1416,3,3.2,196
1286,3,3.2,367
2005,6,4.5,933
1442,3,2.8,376
1167,1,1.8,189
1197,1,1.8,319
1843,3,2.2,480
2114,4,3.5,638
1607,3,2.2,375
1042,1,1.2,198
1939,2,2.5,361
1256,3,3.2,441
1939,3,2.8,310
1129,1,1.2,238
1211,3,2.8,425
1607,3,2.2,358
1723,2,2.5,368
2149,4,3.5,552
2007,4,4.0,621
1851,3,2.2,555
1821,2,1.5,349
1050,2,2.5,348
810,6,5.0,414
1658,3,3.2,345
1789,3,2.2,660
1788,3,3.2,364
1970,2,2.5,344
1142,2,2.0,422
922,1,1.2,180
1630,2,1.5,237
1638,3,2.8,419
1348,3,3.2,294
1796,2,2.5,250
2180,4,4.0,805
2036,4,4.0,518
1995,2,1.5,264
1630,2,2.0,276
932,1,1.8,146
1621,3,3.2,377
1423,2,2.0,323
1782,2,1.5,291
1225,2,1.5,214
1268,3,2.2,456
1112,1,1.8,282
2899,1,1.8,564
1231,3,2.2,219
3664,7,5.2,1673
2178,5,3.8,584
2069,4,3.5,708
1785,2,2.5,554
1029,2,2.5,492
2189,4,3.5,680
905,1,1.2,196
1458,3,3.2,279
907,1,1.0,183
1527,2,2.5,297
1120,1,1.2,225
2100,6,5.5,1064
1556,2,2.0,397
1044,2,1.5,380
1435,2,2.5,340
2060,5,4.2,575
1670,3,3.2,281
1172,2,2.0,365
1828,2,1.5,350
1557,3,3.2,368
1928,3,2.2,554
2160,4,3.0,471
1300,3,2.2,442
2089,4,3.0,311
1380,3,2.8,359
1578,3,3.2,590
2115,6,5.5,660
1963,3,3.2,356
1587,3,2.2,355
1096,2,2.0,176
1200,2,2.5,312
1132,2,1.5,239
1984,3,3.2,756
738,5,4.2,208
2979,6,5.5,835
1001,1,1.0,154
2119,5,4.2,832
1707,2,2.5,562
1637,3,3.2,342
1122,1,1.0,208
923,1,1.2,231
2173,5,4.8,526
1065,1,1.8,557
1595,3,2.2,491
1038,1,1.0,267
918,2,1.5,286
1078,1,1.8,205
1149,1,1.2,318
1269,2,2.5,356
1619,2,2.0,452
1677,3,3.2,654
1617,2,2.0,332
1989,2,2.5,377
1115,1,1.2,237
1620,3,3.2,437
1920,3,2.8,609
1901,2,2.0,356
1187,2,1.5,299
1936,2,1.5,230
1215,2,1.5,259
1166,2,1.5,470
1491,3,2.8,580
1997,2,1.5,530
1302,3,3.2,537
2162,4,3.5,676
1275,3,2.8,248
1363,2,2.5,336
1799,3,2.8,512
1874,3,2.8,333
1343,3,3.2,572
1902,2,2.0,235
1690,2,2.0,518
1685,2,1.5,386
2141,5,4.2,753
1896,2,1.5,522
621,1,2.5,199
1854,3,3.2,661
1844,3,2.2,456
1958,2,1.5,494
1719,3,2.8,345
997,1,1.2,366
1001,6,5.5,372
2125,6,4.5,575
1853,3,2.8,363
1717,3,3.2,295
1189,2,2.0,310
2957,1,1.2,552
1709,3,2.8,744
1567,3,2.8,485
1785,3,2.8,481
1355,2,2.5,381
1382,2,2.0,343
948,1,1.0,138
1479,3,2.2,511
1243,2,2.0,395
1141,1,1.8,327
1315,2,1.5,529
1518,3,3.2,368
1229,3,2.8,223
1459,2,2.0,352
1953,3,2.2,431
1308,3,3.2,440
1895,2,2.5,429
2061,4,3.0,441
2583,6,7.5,1054
1290,2,2.5,308
1337,3,2.2,475
1628,2,2.5,467
1889,3,2.8,471
1595,2,2.0,644
1323,2,1.5,402
2139,4,3.5,477
1367,3,2.2,430
1297,3,3.2,440
1000,2,2.0,309
1959,2,2.5,387
1909,3,2.2,496
1231,3,2.8,532
1197,2,2.5,293
1149,2,1.5,185
783,6,4.5,428
2185,6,4.5,715
941,1,1.0,183
1835,2,1.5,369
1631,3,3.2,445
1701,3,2.2,365
1322,3,3.2,390
1705,3,3.2,379
1229,3,2.8,403
1981,3,2.2,850
1213,3,3.2,406
1196,1,1.8,307
1053,1,1.0,129
1624,3,2.8,327
1615,3,2.2,385
1459,2,2.5,557
1457,2,2.5,458
1872,2,2.0,481
1355,2,2.5,382
1578,2,2.5,352
1185,2,1.5,350
1550,2,2.5,499
1428,3,3.2,565
1547,2,2.5,374
1874,3,2.8,421
1930,2,2.5,364
1851,2,1.5,283
1959,2,2.5,479
1185,2,2.0,323
1981,2,2.0,413
1146,2,2.5,470
2094,4,4.0,468
1209,2,1.5,369
1436,2,2.0,346
1652,3,2.2,398
901,2,1.5,366
1913,3,2.2,412
1901,3,3.2,766
1414,2,1.5,362
1814,2,2.5,428
1544,2,1.5,271
911,1,2.5,205
1634,3,2.2,450
1676,2,2.0,551
1377,3,2.2,439
997,2,2.0,264
1694,2,1.5,302
1340,2,2.0,265
1091,1,1.0,312
2194,4,3.0,534
1644,3,2.8,393
1892,3,3.2,419
2162,6,5.0,642
1192,2,1.5,264
1895,2,1.5,345
2097,5,4.8,456
2011,5,4.8,468
911,2,1.5,194
1659,3,2.8,654
941,7,6.2,541
1097,1,1.0,318
1506,2,2.5,393
1831,3,3.2,524
1568,3,3.2,422
2143,6,5.0,727
1982,2,2.0,470
1348,3,3.2,231
1560,3,2.8,544
2101,6,5.0,904
1896,2,1.5,370
1697,2,2.5,342
1390,3,3.2,433
1964,2,2.0,416
1276,2,2.0,266
2082,6,5.5,411
1028,1,1.2,266
2059,4,4.0,540
2010,4,3.5,601
1229,3,2.2,255
1715,2,1.5,282
1263,3,3.2,332
2054,5,4.8,871
1242,2,1.5,300
1793,2,2.0,444
1740,2,2.0,410
1974,3,3.2,355
2002,4,3.5,874
2177,5,3.8,948
1758,2,1.5,253
1533,2,2.0,331
1266,2,1.5,380
1337,3,2.2,305
2094,5,4.8,612
1639,2,2.5,403
1128,2,2.0,347
2048,4,3.5,547
1229,2,2.0,188
2180,5,3.8,532
1763,2,2.5,499
951,1,1.8,193
1755,2,1.5,368
1320,2,2.5,234
1503,3,2.8,353
1897,3,2.8,493
1958,3,2.2,727
1891,3,2.2,448
1722,2,2.0,339
1630,3,2.8,474
1957,3,2.8,447
1334,2,2.5,366
1008,2,1.5,212
1120,2,2.5,272
944,1,1.8,339
2152,4,3.5,719
1350,3,2.2,603
1170,2,2.0,439
2125,6,4.5,744
966,2,1.5,231
1533,3,3.2,493
961,2,1.5,273
1399,3,3.2,544
1143,2,2.0,391
1874,2,1.5,649
1855,2,2.5,441
1010,1,1.0,213
964,1,1.2,109
1250,2,2.5,428
2127,4,3.5,589
2199,5,3.8,721
964,1,1.8,340
1472,3,3.2,398
2137,5,3.8,581
1224,2,1.5,440
1497,2,2.5,347
1133,1,1.8,319
1247,3,2.8,282
1124,2,2.5,146
1762,3,2.8,274
1932,2,1.5,479
1435,3,2.2,472
1771,3,2.2,449
2069,4,4.0,509
1583,2,1.5,412
1536,3,2.2,489
1259,2,2.5,344
2173,4,4.0,385
1129,1,1.8,196
1875,2,1.5,369
1815,2,2.5,404
1612,3,2.2,499
1905,2,2.5,430
2185,5,4.2,996
1537,3,2.8,591
1520,3,2.8,396
2027,5,4.2,453
1779,3,3.2,350
1100,1,1.0,257
3869,5,3.8,543
1796,3,3.2,435
1177,1,1.2,184
1876,2,1.5,395
1564,3,2.8,606
2023,5,4.2,519
2066,5,4.8,541
1903,3,2.2,327
1270,2,2.0,262
1884,3,2.2,370
1925,2,2.5,258
1623,3,2.2,375
938,1,1.0,144
2049,6,4.5,369
1573,2,1.5,248
2099,6,5.5,701
1040,2,2.0,413
939,2,1.5,276
1521,2,2.0,430
2015,6,5.0,741
1870,3,3.2,437
3655,5,4.2,854
2092,5,3.8,533
1151,2,2.5,411
2887,1,1.8,308
1476,2,2.0,303
1549,2,2.0,414
511,1,1.0,63
1319,3,2.2,421
1538,3,2.2,417
1503,3,3.2,532
2182,4,4.0,717
1300,3,3.2,451
2192,6,5.5,790
1501,2,2.0,451
1487,2,1.5,313
1644,2,2.5,358
955,1,1.8,122
1070,2,1.5,243
2072,4,4.0,809
1447,3,2.8,347
1764,3,2.8,548
1242,2,1.5,224
2020,6,5.0,757
1682,3,3.2,489
944,1,1.0,244
1650,3,2.2,265
1097,2,2.5,463
1629,2,2.5,402
2176,6,4.5,426
1411,2,2.0,268
1835,2,2.0,694
1233,2,2.0,324
1621,2,2.5,352
1439,2,1.5,388
1409,3,2.2,429
2075,6,5.0,527
1551,2,2.5,352
1812,2,1.5,403
2054,6,4.5,563
1959,2,2.0,487
1562,3,2.8,544
2118,5,3.8,981
1215,2,1.5,155
1327,3,2.8,374
1750,3,2.2,477
1278,3,2.2,509
1507,2,1.5,389
1529,2,1.5,205
2147,5,3.8,1035
1882,2,2.5,377
2033,5,3.8,854
3003,6,5.0,623
2008,4,3.5,739
1162,2,2.5,273
1730,3,2.8,552
2180,5,4.2,693
1204,3,2.8,263
1036,1,1.8,218
2070,6,4.5,956
2155,5,4.2,831
2178,4,3.5,858
3400,7,1.0,771
1130,1,1.8,220
2030,4,4.0,444
928,6,1.0,505
1485,3,2.2,485
1675,3,2.8,426
1429,3,2.8,520
1303,2,2.5,249
1794,3,2.8,490
1136,2,2.0,289
1898,2,2.5,470
1688,3,2.2,542
1077,1,1.2,298
1938,3,2.2,508
1274,3,2.8,248
1577,3,2.2,388
2124,4,3.0,470
1034,2,1.5,278
1657,2,2.0,320
1361,3,2.2,383
1080,1,1.2,139
1616,3,3.2,404
3864,5,4.8,810
1768,3,2.8,452
1127,1,1.0,305
1130,2,1.5,280
2180,5,3.8,553
1323,2,2.5,303
1317,2,2.5,170
2106,6,4.5,1090
1807,3,2.2,259
1886,3,2.8,645
1389,3,2.8,496
1486,3,3.2,603
2169,6,5.0,835
2129,5,4.8,748
2105,6,5.5,515
2147,6,5.0,597
978,2,2.5,429
1896,3,2.2,542
1983,3,2.8,606
1421,3,2.2,287
1683,2,1.5,612
1376,2,2.5,234
1536,3,2.2,284
1742,3,2.8,445
1683,2,1.5,378
1377,3,3.2,454
1083,1,1.8,259
1371,2,1.5,355
1052,1,1.0,262
1269,3,3.2,371
1122,2,2.0,523
2079,4,3.5,576
1424,2,2.5,344
1400,3,2.8,347
2032,5,4.8,467
1221,2,2.5,218
1111,2,2.5,335
1622,3,2.8,571
985,1,1.8,315
1073,2,2.0,179
1673,3,2.8,380
1366,3,2.8,497
2104,5,4.8,494
1205,2,2.0,258
958,2,2.5,244
1357,2,1.5,174
1907,3,2.8,388
922,2,1.5,234
900,2,2.0,417
1720,3,3.2,431
1289,3,3.2,290
1843,3,2.8,508
1185,1,1.8,303
1311,3,3.2,373
1956,2,2.0,385
1112,2,2.0,252
1491,2,2.0,405
2046,6,5.0,598
2013,4,3.0,608
3335,1,2.5,347
906,2,1.5,191
1473,3,2.2,400
965,1,1.2,208
1279,2,2.5,504
1938,2,2.5,511
1494,2,2.5,345
1369,3,3.2,309
2167,4,3.0,337
1454,3,3.2,394
1415,3,3.2,626
1084,2,1.5,187
1076,1,1.8,256
1990,2,1.5,380
1460,3,2.8,248
1698,3,3.2,367
950,1,1.8,222
2017,6,5.5,624
1070,2,2.0,301
1128,2,1.5,216
1347,3,2.2,378
1570,2,2.0,318
2140,4,4.0,426
2643,1,1.8,234
1384,3,2.2,278
1383,2,1.5,283
959,1,1.8,277
1793,3,2.2,485
1272,3,2.2,319
1947,2,1.5,389
2176,5,3.8,428
1658,3,2.8,349
1941,3,3.2,365
1838,2,1.5,212
1435,3,3.2,256
3231,1,1.2,1636
1572,3,2.2,531
1158,1,1.2,185
2069,6,5.5,421
2590,7,5.2,702
1165,1,1.8,155
2004,5,4.8,638
2023,4,3.5,911
1478,3,3.2,347
1863,3,3.2,477
1589,2,1.5,285
1292,3,3.2,345
1660,3,2.2,276
1405,2,1.5,317
1292,3,2.2,345
1569,3,2.2,464
1764,3,3.2,387
1390,3,2.2,279
1454,3,2.2,362
1273,3,2.2,449
1587,2,2.5,296
1949,2,2.5,579
2104,4,3.5,514
1984,2,1.5,671
1858,3,3.2,379
1374,2,2.0,343
972,2,1.5,357
1489,3,3.2,361
1240,2,2.5,249
2026,5,3.8,468
1253,2,2.5,303
987,1,1.0,180
986,1,1.2,229
993,2,1.5,303
1503,3,2.8,382
1666,2,1.5,564
938,1,1.8,219
1847,3,2.2,665
1881,3,2.8,462
1184,1,1.8,320
1187,2,1.5,256
1321,2,1.5,331
1307,2,2.5,327
1488,3,3.2,364
1475,3,2.8,636
1697,3,2.2,750
2112,5,4.8,682
1748,3,3.2,407
1216,2,2.0,365
1026,2,1.5,306
1316,3,2.8,360
1453,3,2.2,492
974,2,1.5,328
1955,2,2.5,554
1054,2,2.0,228
1676,3,2.8,233
1121,2,1.5,298
965,2,1.5,249
1494,3,3.2,528
1144,2,2.5,286
2003,5,4.2,766
2037,5,4.2,825
1306,3,3.2,313
1896,3,2.2,502
1869,2,2.5,524
1067,2,2.0,310
1767,2,2.5,289
1102,2,1.5,257
2182,4,3.0,519
2110,6,5.5,831
1691,2,1.5,570
1151,2,2.0,260
1766,3,2.2,603
1573,2,2.0,313
1632,2,2.5,345
1898,3,3.2,720
1744,2,1.5,545
1242,3,2.8,323
2003,4,3.0,551
1302,3,2.2,340
1660,2,2.5,687
1081,2,1.5,282
1050,1,1.0,302
2112,4,3.5,439
1374,2,1.5,323
1448,3,2.2,436
1456,2,2.0,596
1288,2,2.5,563
1421,3,2.2,469
1515,3,2.8,523
1616,2,1.5,334
2023,5,3.8,471
1630,3,2.2,672
1692,2,2.0,533
959,1,1.8,224
1340,3,2.2,645
1856,2,2.5,277
1275,2,2.5,399
1495,2,2.0,312
1021,2,2.0,244
1768,3,3.2,552
2156,6,4.5,771
2124,5,3.8,428
2155,5,3.8,399
3968,1,1.0,951
1629,2,2.5,377
1722,3,3.2,543
1432,3,2.8,434
2162,4,4.0,648
2048,5,4.8,757
1991,2,2.0,247
906,2,2.5,358
1931,2,2.0,541
1994,3,2.8,578
1678,2,2.5,378
1467,3,3.2,421
1077,2,2.0,168
1576,2,2.0,462
1660,2,1.5,447
1819,3,2.8,384
1982,2,1.5,471
1331,3,2.8,460
1113,1,1.2,364
979,1,1.8,196
995,1,1.2,164
1086,1,1.8,354
1138,2,2.5,321
1940,2,2.5,637
1301,2,1.5,294
1453,3,2.8,499
1191,2,2.0,328
2085,6,4.5,902
1720,2,2.0,417
1038,2,1.5,215
1496,3,2.8,751
1026,1,1.2,365
1213,3,2.8,289
2111,6,5.5,747
1123,2,1.5,322
716,7,8.5,1058
973,2,1.5,196
1120,1,1.2,191
1550,2,2.5,449
988,2,2.0,331
968,1,1.8,234
1095,7,6.2,378
902,2,2.5,250
1370,3,3.2,550
1909,3,2.2,488
1951,3,2.8,454
1745,3,2.2,587
1621,2,1.5,538
1518,2,1.5,441
967,2,1.5,310
1420,3,2.2,250
913,1,1.8,235
1102,2,2.5,236
1769,2,1.5,454
1815,2,2.0,481
1779,2,2.5,480
1217,3,2.2,342
2147,4,3.0,538
2070,4,3.5,496
1247,3,2.8,326
1143,2,2.5,214
1811,2,1.5,540
